group,type,company,url
non_qr,Commercial Bank,UniCredit,https://www.unicreditgroup.eu/en.html
non_qr,Commercial Bank,Zions Bank,https://www.zionsbank.com
non_qr,Consulting/Econ Consulting,Accenture,https://www.accenture.com
non_qr,Consulting/Econ Consulting,Alvarez & Marsal,https://www.alvarezandmarsal.com
non_qr,Consulting/Econ Consulting,Analysis Group,https://www.analysisgroup.com
non_qr,Consulting/Econ Consulting,Bain & Company,https://www.bain.com
non_qr,Consulting/Econ Consulting,Boston Consulting Group (BCG),https://www.bcg.com
non_qr,Consulting/Econ Consulting,Capco,https://www.capco.com
non_qr,Consulting/Econ Consulting,Charles River Associates,https://www.crai.com
non_qr,Consulting/Econ Consulting,Cornerstone Research,https://www.cornerstone.com
non_qr,Consulting/Econ Consulting,DIA Associates,https://www.diaassociates.com
non_qr,Consulting/Econ Consulting,Deloitte,https://www.deloitte.com
non_qr,Consulting/Econ Consulting,Edgeworth Economics,https://www.edgewortheconomics.com
non_qr,Consulting/Econ Consulting,Ernst & Young,https://www.ey.com
non_qr,Consulting/Econ Consulting,Fitch Ratings,https://www.fitchratings.com
non_qr,Consulting/Econ Consulting,KPMG,https://kpmg.com
non_qr,Consulting/Econ Consulting,Kearney,https://www.kearney.com
non_qr,Consulting/Econ Consulting,McKinsey,https://www.mckinsey.com
non_qr,Consulting/Econ Consulting,NERA Economic Consulting,https://www.nera.com
non_qr,Consulting/Econ Consulting,Roland Berger,https://www.rolandberger.com
non_qr,Crypto,Amber Group,https://www.ambergroup.io
non_qr,Crypto,Apifiny,https://www.apifiny.com
non_qr,Crypto,B2C2,https://www.b2c2.com
non_qr,Crypto,Bitwise Asset Management,https://bitwiseinvestments.com
non_qr,Crypto,Circle,https://www.circle.com
non_qr,Crypto,Coinbase,https://www.coinbase.com
non_qr,Crypto,GSR,https://www.gsr.io
non_qr,Crypto,Galaxy Digital,https://www.galaxy.com
non_qr,Crypto,Genesis Trading,https://genesistrading.com
non_qr,Crypto,Grayscale Investments,https://www.grayscale.com
non_qr,Crypto,Kraken,https://www.kraken.com
non_qr,Crypto,Linden Shore,https://www.lindenshore.com
non_qr,Crypto,OpenSea,https://opensea.io
non_qr,Crypto,Paradigm,https://www.paradigm.xyz
non_qr,Crypto,Ripple,https://ripple.com
non_qr,Crypto,Uniswap,https://uniswap.org
non_qr,Crypto,Wintermute,https://www.wintermute.com
non_qr,Crypto,dYdX,https://dydx.exchange
non_qr,Fintech,Affirm,https://www.affirm.com
non_qr,Fintech,Apex Fintech Solutions,https://apexfintechsolutions.com
non_qr,Fintech,Arcesium,https://www.arcesium.com
non_qr,Fintech,Avaloq Group,https://www.avaloq.com
non_qr,Fintech,Axioma,https://axioma-corp.com
non_qr,Fintech,Betterment,https://www.betterment.com
non_qr,Fintech,BlockFi,https://restructuring.ra.kroll.com/blockfi/
non_qr,Fintech,Bloomberg L.P.,https://www.bloomberg.com/company/
non_qr,Fintech,Blue Chip Financial Services,https://bluechipfinancial.com
non_qr,Fintech,Brex,https://www.brex.com
non_qr,Fintech,Chime,https://www.chime.com
non_qr,Fintech,Coinbase,https://www.coinbase.com
non_qr,Fintech,Credit Karma,https://www.creditkarma.com
non_qr,Fintech,Cross River Bank,https://www.crossriver.com
non_qr,Fintech,FIS,https://www.fisglobal.com
non_qr,Fintech,Intuit,https://www.intuit.com
non_qr,Fintech,Klarna,https://www.klarna.com
non_qr,Fintech,M Science,https://www.mscience.com
non_qr,Fintech,MerQube,https://www.merqube.com
non_qr,Fintech,PayPal,https://www.paypal.com
non_qr,Fintech,Plaid,https://plaid.com
non_qr,Fintech,Revolut,https://www.revolut.com
non_qr,Fintech,Robinhood,https://robinhood.com
non_qr,Fintech,SoFi,https://www.sofi.com
non_qr,Fintech,Square,https://squareup.com
non_qr,Fintech,Stripe,https://stripe.com
non_qr,Fintech,TIFIN,https://www.tifin.com
non_qr,Fintech,Wealthfront,https://www.wealthfront.com
non_qr,Fintech,Webull Financial,https://www.webull.com
non_qr,Fintech,Wise,https://wise.com
non_qr,Fintech,eToro,https://www.etoro.com
non_qr,Fintech,iCapital,https://www.icapitalnetwork.com
non_qr,Fundamental Long Short Equity,Coatue,https://www.coatue.com
non_qr,Fundamental Long Short Equity,D1 Capital,https://www.d1capital.com
non_qr,Fundamental Long Short Equity,Eminence Capital,https://www.eminencecapital.com
non_qr,Fundamental Long Short Equity,Farallon Capital Management,https://www.faralloncapital.com
non_qr,Fundamental Long Short Equity,Freestone Grove Partners,https://fgrovep.com
non_qr,Fundamental Long Short Equity,Junto Capital,https://www.juntocap.com
non_qr,Fundamental Long Short Equity,Light Street,https://lightstreet.com
non_qr,Fundamental Long Short Equity,Lone Pine,https://www.lonepinecapital.com
non_qr,Fundamental Long Short Equity,Maverick Capital,https://www.maverickcap.com
non_qr,Fundamental Long Short Equity,Perceptive,https://www.perceptivelife.com
non_qr,Fundamental Long Short Equity,Tiger Global,https://www.tigerglobal.com
non_qr,Fundamental Long Short Equity,Viking Global Investors,https://vikingglobal.com
non_qr,Fundamental Long Short Equity,Whale Rock,https://www.whalerockcapital.com
non_qr,Insurance/Reinsurance,AIA Group,https://www.aia.com/en
non_qr,Insurance/Reinsurance,AIG,https://www.aig.com/home
non_qr,Insurance/Reinsurance,AXA,https://www.axa.com/
non_qr,Insurance/Reinsurance,Aflac Global Investments,https://www.aflac.com
non_qr,Insurance/Reinsurance,Allianz Life Insurance Company,https://www.allianzlife.com/
non_qr,Insurance/Reinsurance,American Credit Acceptance,https://americancreditacceptance.com/
non_qr,Insurance/Reinsurance,American Family Insurance,https://www.amfam.com/
non_qr,Insurance/Reinsurance,American Financial Group,https://www.afginc.com/
non_qr,Insurance/Reinsurance,Chubb Insurance,https://www.chubb.com/us-en/
non_qr,Insurance/Reinsurance,Constellation Insurance,https://constellationinsurance.com/
non_qr,Insurance/Reinsurance,Everest Re Group,https://www.everestglobal.com/
non_qr,Insurance/Reinsurance,Fortitude Re,https://fortitude-re.com/
non_qr,Insurance/Reinsurance,GCG Financial,https://www.gcgwm.com/
non_qr,Insurance/Reinsurance,Global Atlantic Financial Group,https://www.globalatlantic.com/
non_qr,Insurance/Reinsurance,Guardian Life Insurance,https://www.guardianlife.com/
